Image_ID srad_max srad_maxLoc srad_mean srad_var srad_dist sang_max sang_maxLoc sang_mean sang_var sang_dist wave_1 wave_2 wave_3 wave_4 wave_5 wave_6 wave_7 wave_8 wave_9 wave_10
10039 6.0220645e+06 2.0000000e+00 4.5686988e+05 1.2422429e+12 5.5651945e+06 6.4885012e+05 9.0000000e+01 4.2831338e+05 6.5362017e+09 2.2053675e+05 9.9969101e+01 7.8162691e-03 1.9836901e-03 6.6547998e-04 7.8189261e-03 1.5743701e-03 4.9924938e-04 8.3859777e-03 1.7400936e-03 4.1721962e-04
1003 6.0318570e+06 2.0000000e+00 4.5704769e+05 1.2445417e+12 5.5748095e+06 6.4840500e+05 9.0000000e+01 4.2849788e+05 6.5230290e+09 2.1990712e+05 9.9970924e+01 6.3853767e-03 3.5012616e-03 9.8238862e-04 6.7710746e-03 1.6877824e-03 4.8611994e-04 6.8854555e-03 1.6319237e-03 7.4979581e-04
10040 6.0398905e+06 2.0000000e+00 4.5979541e+05 1.2447188e+12 5.5800950e+06 6.4830938e+05 9.0000000e+01 4.2781619e+05 6.5309655e+09 2.2049319e+05 9.9923004e+01 6.6402769e-03 8.0999788e-03 1.9681325e-02 6.9982759e-03 7.1502221e-03 1.6874466e-02 4.7220662e-03 1.7509025e-03 4.8874482e-03
10042 6.0072130e+06 2.0000000e+00 4.5558688e+05 1.2340552e+12 5.5516260e+06 6.4629494e+05 1.8000000e+02 4.2685462e+05 6.4747756e+09 2.1944031e+05 9.9964279e+01 8.8778222e-03 2.5720499e-03 6.2977726e-04 9.7706942e-03 2.1068405e-03 4.6805799e-04 8.6123683e-03 2.1946556e-03 5.3475465e-04
10045 5.9951580e+06 2.0000000e+00 4.5522175e+05 1.2332865e+12 5.5399360e+06 6.4595712e+05 1.8000000e+02 4.2683031e+05 6.4739302e+09 2.1912681e+05 9.9972580e+01 5.2238991e-03 2.1002190e-03 1.6539235e-03 5.6099589e-03 2.3301165e-03 2.3353908e-03 5.8861002e-03 1.3736701e-03 8.0907019e-04
10047 6.0039530e+06 2.0000000e+00 4.5566894e+05 1.2338387e+12 5.5482840e+06 6.4607031e+05 1.8000000e+02 4.2692966e+05 6.4770734e+09 2.1914066e+05 9.9965355e+01 9.4610984e-03 2.2098327e-03 3.7139311e-04 8.9224130e-03 2.0731555e-03 6.5028132e-04 8.0004912e-03 2.1294348e-03 7.7657565e-04
10049 6.0165770e+06 2.0000000e+00 4.5777069e+05 1.2402675e+12 5.5588065e+06 6.4858606e+05 9.0000000e+01 4.2844125e+05 6.5168809e+09 2.2014481e+05 9.9962082e+01 8.5973898e-03 2.7210510e-03 4.4765952e-04 1.0567369e-02 2.5180581e-03 6.0323149e-04 9.6302954e-03 2.1200636e-03 6.1420503e-04
1004 6.0192620e+06 2.0000000e+00 4.5820722e+05 1.2432095e+12 5.5610550e+06 6.4979175e+05 1.8000000e+02 4.2872116e+05 6.5507702e+09 2.2107059e+05 9.9964180e+01 8.6905770e-03 2.8589207e-03 1.0227278e-03 8.7809674e-03 2.0294082e-03 5.7789194e-04 8.9006079e-03 2.0633088e-03 7.7762717e-04
10050 6.0248785e+06 2.0000000e+00 4.5769300e+05 1.2410665e+12 5.5671855e+06 6.4798119e+05 9.0000000e+01 4.2803106e+05 6.5037358e+09 2.1995012e+05 9.9960167e+01 1.0318277e-02 2.3158311e-03 8.4704260e-04 1.0115549e-02 2.6999377e-03 6.2030228e-04 9.9928472e-03 2.6565921e-03 2.8654115e-04
10051 6.0217390e+06 2.0000000e+00 4.5678934e+05 1.2418704e+12 5.5649495e+06 6.4878275e+05 1.8000000e+02 4.2875150e+05 6.5323663e+09 2.2003125e+05 9.9969673e+01 7.4227331e-03 2.5921892e-03 8.5683272e-04 7.3191263e-03 1.9127963e-03 4.4341557e-04 7.4625737e-03 1.7739988e-03 4.7678800e-04
10054 5.9851240e+06 2.0000000e+00 4.5360856e+05 1.2256091e+12 5.5315155e+06 6.4400519e+05 1.8000000e+02 4.2556181e+05 6.4371948e+09 2.1844338e+05 9.9964775e+01 8.4222592e-03 2.4062886e-03 6.0890225e-04 9.7707873e-03 2.1891752e-03 5.2023877e-04 8.8861501e-03 2.0401606e-03 4.1404186e-04
10055 5.9717085e+06 2.0000000e+00 4.5264619e+05 1.2200279e+12 5.5190625e+06 6.4267325e+05 1.8000000e+02 4.2418597e+05 6.3998387e+09 2.1848728e+05 9.9968468e+01 7.9805516e-03 4.2206673e-03 1.0620435e-03 6.8431851e-03 1.7152051e-03 3.9224257e-04 7.0331977e-03 1.5760927e-03 6.7760173e-04
10057 5.9569960e+06 2.0000000e+00 4.5199781e+05 1.2159428e+12 5.5049980e+06 6.4070988e+05 1.8000000e+02 4.2303888e+05 6.3812639e+09 2.1767100e+05 9.9970795e+01 6.7193042e-03 2.0639191e-03 6.7886338e-04 7.2186971e-03 2.0570981e-03 4.5287426e-04 7.8709107e-03 1.7862543e-03 3.5787400e-04
10058 6.0066985e+06 2.0000000e+00 4.5582694e+05 1.2369177e+12 5.5508715e+06 6.4671212e+05 1.8000000e+02 4.2697116e+05 6.5024783e+09 2.1974097e+05 9.9966774e+01 7.7538216e-03 2.2910286e-03 5.0846912e-04 8.8948915e-03 1.6742834e-03 5.4814626e-04 8.6806044e-03 2.2588822e-03 5.6890765e-04
10059 6.0040725e+06 2.0000000e+00 4.5645588e+05 1.2325917e+12 5.5476165e+06 6.4713206e+05 9.0000000e+01 4.2743697e+05 6.4876605e+09 2.1969509e+05 9.9961258e+01 9.4621396e-03 2.4685271e-03 3.2405372e-04 1.1083182e-02 2.8577354e-03 5.1899382e-04 9.3711838e-03 2.0639326e-03 5.4875115e-04
10061 6.0000730e+06 2.0000000e+00 4.5613316e+05 1.2313348e+12 5.5439400e+06 6.4794631e+05 9.0000000e+01 4.2712503e+05 6.5221309e+09 2.2082128e+05 9.9956390e+01 6.3569616e-03 1.6361360e-03 9.2558761e-04 7.8788782e-03 5.8127027e-03 1.2554187e-02 6.3382029e-03 1.3125909e-03 7.4706081e-04
10062 5.9951370e+06 2.0000000e+00 4.5506319e+05 1.2300828e+12 5.5400740e+06 6.4564206e+05 1.8000000e+02 4.2656656e+05 6.4661581e+09 2.1907550e+05 9.9965263e+01 8.6557576e-03 2.1495137e-03 3.5987337e-04 8.0598220e-03 2.6769903e-03 9.8382356e-04 8.9778779e-03 2.1219968e-03 7.1488210e-04
10064 5.9712830e+06 2.0000000e+00 4.5313078e+05 1.2214108e+12 5.5181520e+06 6.4430900e+05 1.8000000e+02 4.2565231e+05 6.4343004e+09 2.1865669e+05 9.9970306e+01 7.4759689e-03 2.3070129e-03 5.4963189e-04 7.7778604e-03 2.0327459e-03 4.2293995e-04 6.8209586e-03 1.8629297e-03 4.0593033e-04
